"target_id","frame","time_s","x","y","z","vx","vy","vz"
3,3,0.08,-95.3974587754021,59.6180682168337,1200.50573703163,-694.04939344954,346.529257992218,304.030384122657
3,4,0.12,-123.159434513384,73.4792385365224,1212.66695239653,-694.04939344954,346.529257992218,304.030384122657
3,5,0.16,-150.921410251365,87.3404088562111,1224.82816776144,-694.04939344954,346.529257992218,304.030384122657
3,6,0.2,-178.683385989347,101.2015791759,1236.98938312635,-694.04939344954,346.529257992218,304.030384122657
3,7,0.24,-206.445361727328,115.062749495588,1249.15059849125,-694.04939344954,346.529257992218,304.030384122657
3,8,0.28,-234.20733746531,128.923919815277,1261.31181385616,-694.04939344954,346.529257992218,304.030384122657
3,9,0.32,-261.969313203292,142.785090134966,1273.47302922106,-694.04939344954,346.529257992218,304.030384122657
3,10,0.36,-289.731288941273,156.646260454655,1285.63424458597,-694.04939344954,346.529257992218,304.030384122657
3,11,0.4,-317.493264679255,170.507430774343,1297.79545995088,-694.04939344954,346.529257992218,304.030384122657
3,12,0.44,-345.255240417236,184.368601094032,1309.95667531578,-694.04939344954,346.529257992218,304.030384122657
3,13,0.48,-373.017216155218,198.229771413721,1322.11789068069,-694.04939344954,346.529257992218,304.030384122657
3,14,0.52,-400.7791918932,212.090941733409,1334.2791060456,-694.04939344954,346.529257992218,304.030384122657
3,15,0.56,-428.541167631181,225.952112053098,1346.4403214105,-694.04939344954,346.529257992218,304.030384122657
3,16,0.6,-456.303143369163,239.813282372787,1358.60153677541,-694.04939344954,346.529257992218,304.030384122657
3,17,0.64,-484.065119107144,253.674452692476,1370.76275214031,-694.04939344954,346.529257992218,304.030384122657
3,18,0.68,-511.827094845126,267.535623012164,1382.92396750522,-694.04939344954,346.529257992218,304.030384122657
3,19,0.72,-539.589070583107,281.396793331853,1395.08518287013,-694.04939344954,346.529257992218,304.030384122657
3,20,0.76,-567.351046321089,295.257963651542,1407.24639823503,-694.04939344954,346.529257992218,304.030384122657
3,21,0.8,-595.113022059071,309.11913397123,1419.40761359994,-694.04939344954,346.529257992218,304.030384122657
3,22,0.84,-622.874997797052,322.980304290919,1431.56882896485,-694.04939344954,346.529257992218,304.030384122657
3,23,0.88,-650.636973535034,336.841474610608,1443.73004432975,-694.04939344954,346.529257992218,304.030384122657
3,24,0.92,-678.398949273016,350.702644930297,1455.89125969466,-694.04939344954,346.529257992218,304.030384122657
4,24,0.92,42.7892446631034,15.5997097256136,-27.43436126725,735.661159956776,-562.004324660618,-1146.67544155192
11,7,0.24,104.173676970784,41.9112679561316,1011.88473476644,190.362155893674,187.352388400204,160.163053479361
11,8,0.28,111.78816320653,49.4053634921398,1018.29125690562,190.362155893674,187.352388400204,160.163053479361
11,9,0.32,119.402649442277,56.899459028148,1024.69777904479,190.362155893674,187.352388400204,160.163053479361
11,10,0.36,127.017135678024,64.3935545641561,1031.10430118397,190.362155893674,187.352388400204,160.163053479361
11,11,0.4,134.631621913771,71.8876501001643,1037.51082332314,190.362155893674,187.352388400204,160.163053479361
11,12,0.44,142.246108149518,79.3817456361724,1043.91734546232,190.362155893674,187.352388400204,160.163053479361
11,13,0.48,149.860594385265,86.8758411721806,1050.32386760149,190.362155893674,187.352388400204,160.163053479361
11,14,0.52,157.475080621012,94.3699367081887,1056.73038974066,190.362155893674,187.352388400204,160.163053479361
11,15,0.56,165.089566856759,101.864032244197,1063.13691187984,190.362155893674,187.352388400204,160.163053479361
11,16,0.6,172.704053092506,109.358127780205,1069.54343401901,190.362155893674,187.352388400204,160.163053479361
11,17,0.64,180.318539328253,116.852223316213,1075.94995615819,190.362155893674,187.352388400204,160.163053479361
11,18,0.68,187.933025564,124.346318852221,1082.35647829736,190.362155893674,187.352388400204,160.163053479361
11,19,0.72,195.547511799747,131.84041438823,1088.76300043654,190.362155893674,187.352388400204,160.163053479361
11,20,0.76,203.161998035494,139.334509924238,1095.16952257571,190.362155893674,187.352388400204,160.163053479361
11,21,0.8,210.776484271241,146.828605460246,1101.57604471489,190.362155893674,187.352388400204,160.163053479361
11,22,0.84,218.390970506988,154.322700996254,1107.98256685406,190.362155893674,187.352388400204,160.163053479361
11,23,0.88,226.005456742735,161.816796532262,1114.38908899324,190.362155893674,187.352388400204,160.163053479361
11,24,0.92,233.619942978482,169.31089206827,1120.79561113241,190.362155893674,187.352388400204,160.163053479361
24,13,0.48,-46.1532003744345,-99.753647190972,1053.03034051117,-831.237555398251,303.447209394462,62.3488596711437
24,14,0.52,-79.4027025903646,-87.6157588151935,1055.52429489802,-831.237555398251,303.447209394462,62.3488596711437
24,15,0.56,-112.652204806295,-75.477870439415,1058.01824928487,-831.237555398251,303.447209394462,62.3488596711437
24,16,0.6,-145.901707022225,-63.3399820636365,1060.51220367171,-831.237555398251,303.447209394462,62.3488596711437
24,17,0.64,-179.151209238155,-51.202093687858,1063.00615805856,-831.237555398251,303.447209394462,62.3488596711437
