"frame","error_mm","x_true","y_true","z_true","x_est","y_est","z_est","reproj_err"
1,0.658569784329028,205.852244520647,-83.7740177555645,1051.39952426952,205.36421120055,-83.8389086302323,1050.96211506329,0.0546432614964988
1,1.87235288924294,43.4125701714388,-5.01608623656358,1037.77501022367,43.257924897486,-5.08977602542291,1035.91051029175,0.0373604155253762
1,2.13361288980191,-9.49506403695177,23.3712249987123,1156.71617365634,-9.98328256973758,23.0312201869802,1158.76515958986,0.0147181252938533
1,2.3036679284239,-14.6159210339255,68.0286978725182,1053.01141627496,-15.0511347298382,67.7249253645777,1050.76972110685,0.0191601453925172
2,1.79993451410235,160,-101.251539826207,1041.93377577097,159.655798829641,-101.806765716909,1043.61097999815,0.103852367288041
2,1.42813379214457,52.1431256127115,1.16353752868774,1026.75388997556,51.9437607351004,0.946608709968833,1028.1513024635,0.00421707554558168
2,0.776671735046759,-39.7310184126102,35.2856587911343,1148.76129928219,-40.040687982096,34.7336355093605,1149.21140375687,0.0483961242350206
2,1.42467551636503,14.7890742159628,48.8006325797998,1052.88588563811,14.5291542122359,48.2478856749282,1051.59879093384,0.0334917050762136
3,2.24148984288625,152.859300878813,-118.680135200246,1032.76589204785,152.492435451034,-119.103400937469,1034.93626818791,0.0693570948528159
3,2.26434626539978,60.8000033118948,7.401306018256,1015.76729307309,60.5918368537837,7.0498196665009,1017.99448594302,0.022038715820146
3,1.05843360193672,44.23092990333,29.3851358622406,1052.72234116299,44.1123036386937,29.0268934200957,1053.71121519526,0.0260315190944805
3,0.711411383871483,-69.8755638085443,47.2641777103018,1140.76506479723,-70.3078832294664,46.8464418414537,1141.14546303497,0.00424790613619466
4,1.6408336231007,145.650417709699,-130,1023.52463288195,145.362742393507,-130.276246500508,1025.11625650646,0.028733643183169
4,11.1483939663619,73.6977333365608,9.93727726984407,1052.41816160211,72.9194310258269,10.1806485447449,1041.29963184477,0.104525821378365
4,2.26073887254553,-100.17797386954,59.3688024163861,1132.74817541937,-100.017535062772,58.5569065749076,1130.64436345494,0.0537535101134552
5,4.41934516043119,138.55697813674,-112.580904378409,1014.16829393106,138.380098751888,-113.262332048705,1018.53120370097,0.0131761562355594
5,0.494249946106417,103.255207388573,-9.54489631340456,1052.29000424195,103.048651508735,-9.85780758375344,1052.61203562958,0.0655146387967474
5,0.695271622313347,78.2485914912157,19.7947552572156,993.691095935741,78.1745850047271,19.6303178682741,993.019615471491,0.00977819787657186
